"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:28.0617393Z","0.005",,"306.664","255.16","17","681",,,,,,"21","32",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:29.1096001Z","1.052","0.466","306.664","255.16","17","681","2254.116","647.033",,,,"21","29",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:30.1279991Z","2.071","0","306.664","255.16","17","681","102.121","14.729",,,,"21","29",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:31.1319787Z","3.075","0","306.664","254.598","17","681","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:32.1407758Z","4.084","0","306.664","254.598","17","681","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:33.1500735Z","5.093","0","306.664","254.598","17","681","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:34.1595828Z","6.102","0","305.383","253.293","16","678","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:35.1690276Z","7.112","0","305.383","253.293","16","678","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:36.1760291Z","8.119","0","305.383","253.293","16","678","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:37.1970727Z","9.14","0","305.383","253.293","16","678","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:38.2069558Z","10.15","0","305.383","253.293","16","678","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:39.2165324Z","11.159","0","305.348","253.242","15","681","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S11-deep-only","2026-09-20T00:29:40.2256899Z","12.168","0","305.348","253.242","15","681","0","0",,,,"21","29",,,,"True"
