"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:46.0211607Z","0.004",,"305.527","253.996","15","684",,,,,,"21","30",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:47.0656570Z","1.048","2.8049","309.066","255.988","15","675","273011.977","182060.961",,,,"22","31",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:48.0891614Z","2.072","3.7211","313.957","260.156","15","676","305194.584","171118.952",,,,"21","31",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:49.1097232Z","3.092","3.1577","314.812","260.906","15","675","328620.962","168077.034",,,,"21","30",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:50.1315960Z","4.114","2.198","315.34","261.395","17","681","184203.944","118635.118",,,,"21","30",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:51.1525901Z","5.135","0","315.34","261.395","17","681","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:52.1745455Z","6.157","0","315.34","261.395","17","681","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:53.1843241Z","7.167","0","315.34","261.395","17","681","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:54.1898167Z","8.173","0","315.281","261.316","16","678","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:55.2096003Z","9.192","0","315.281","261.316","16","678","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:56.2167454Z","10.199","0","315.281","261.316","16","678","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:57.2270240Z","11.21","0","315.281","261.316","16","678","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S12-prompt-add-remove","2026-09-20T00:29:58.2337853Z","12.217","0","315.281","261.316","16","678","0","0",,,,"21","29",,,,"True"
