"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:04.0153692Z","0.004",,"313.465","259.465","17","683",,,,,,"22","30",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:05.0525870Z","1.041","2.9187","312.672","259.02","17","682","259248.347","147305.609",,,,"21","31",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:06.0744407Z","2.063","1.4335","313.461","259.727","17","685","54719.183","29735.176",,,,"21","29",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:07.0817267Z","3.07","0","313.473","259.727","17","685","3776.485","1560.629",,,,"21","29",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:08.1007007Z","4.089","0","313.473","259.727","17","685","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:09.1105497Z","5.099","0","313.473","259.727","17","685","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:10.1186666Z","6.107","0","313.473","259.727","17","685","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:11.1398806Z","7.128","0","313.418","259.652","16","682","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:12.1495958Z","8.138","0","313.418","259.652","16","682","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:13.1586513Z","9.147","0","313.418","259.652","16","682","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:14.1674677Z","10.156","0","313.418","259.652","16","682","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:15.1769186Z","11.165","0","313.418","259.652","16","682","0","0",,,,"21","29",,,,"True"
"B-AutoRender","S13-prompt-reorder","2026-09-20T00:30:16.1847608Z","12.173","0","313.406","259.652","16","682","0","0",,,,"21","29",,,,"True"
