"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"B-AutoRender","S16-prompt-search","2026-09-20T00:30:57.9319791Z","0.004",,"314.723","260.668","19","693",,,,,,"23","34",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:30:58.9792894Z","1.052","0.1865","314.73","260.66","19","691","1231.727","338.009",,,,"23","31",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:30:59.9970292Z","2.069","0","314.73","260.66","19","691","0","0",,,,"23","31",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:31:01.0149547Z","3.087","0.0959","314.73","260.66","19","691","0","0",,,,"23","31",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:31:02.0214712Z","4.094","0","314.73","260.66","19","691","0","0",,,,"23","31",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:31:03.0415290Z","5.114","0","314.699","260.547","18","688","0","0",,,,"23","31",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:31:04.0604652Z","6.133","0","314.699","260.547","18","688","0","0",,,,"23","31",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:31:05.0680733Z","7.14","0","314.699","260.547","18","688","0","0",,,,"23","31",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:31:06.0874807Z","8.16","0","313.184","259.031","18","688","0","0",,,,"23","31",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:31:07.1065910Z","9.179","0","313.184","259.031","18","688","0","0",,,,"23","31",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:31:08.1134415Z","10.186","0","313.184","259.031","18","688","0","0",,,,"23","31",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:31:09.1312714Z","11.204","0","313.184","259.031","18","688","0","0",,,,"23","32",,,,"True"
"B-AutoRender","S16-prompt-search","2026-09-20T00:31:10.1387267Z","12.211","0.0969","313.145","258.953","16","688","0","0",,,,"23","31",,,,"True"
