"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"B-AutoRender","S17-resize","2026-09-20T00:31:15.9220511Z","0.004",,"317.145","282.695","17","691",,,,,,"21","31",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:16.9626514Z","1.044","0.4692","317.363","288.715","17","686","0","0",,,,"19","31",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:17.9802580Z","2.062","0","317.434","288.715","17","686","16198.794","36772.56",,,,"19","30",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:18.9879838Z","3.07","0","317.434","288.715","17","686","0","0",,,,"19","30",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:19.9922254Z","4.074","0","313.348","283.949","19","692","0","0",,,,"19","30",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:20.9996086Z","5.081","0","313.348","283.949","19","692","0","0",,,,"19","30",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:22.0092317Z","6.091","0","313.363","283.965","20","693","0","0",,,,"19","31",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:23.0219196Z","7.104","0","313.363","283.965","20","693","0","0",,,,"19","31",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:24.0304383Z","8.112","0","313.363","283.965","20","693","0","0",,,,"19","31",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:25.0386786Z","9.12","0","313.363","283.965","20","693","0","0",,,,"19","31",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:26.0464871Z","10.128","0","313.363","283.965","20","693","0","0",,,,"19","31",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:27.0562949Z","11.138","0","313.363","283.965","20","693","0","0",,,,"19","31",,,,"True"
"B-AutoRender","S17-resize","2026-09-20T00:31:28.0660651Z","12.148","0","313.352","283.965","20","695","0","0",,,,"19","31",,,,"True"
