"Runtime","Scenario","TimestampUtc","ElapsedSec","ProcessGpuEngineUtilPct","ProcessGpuDedicatedMB","ProcessGpuSharedMB","TotalGpuUtilPct","TotalGpuMemoryMB"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:33.7667774Z","0.004",,,,"9","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:42.4241237Z","8.661",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:50.7366836Z","16.974",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:59.0721529Z","25.309",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:07.3775895Z","33.615",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:15.9859964Z","42.223",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:24.4360500Z","50.673",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:32.8054143Z","59.043",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:41.1301913Z","67.367",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:49.7693382Z","76.006",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:58.1063925Z","84.343",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:33:06.4527571Z","92.69",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:33:14.8035611Z","101.041",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:33:23.1374271Z","109.375",,,,"8","1985"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:33:31.4614070Z","117.699",,,,"8","1985"
