"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:33.8465741Z","0.004",,"313.441","284.07","21","698",,,,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:34.8815824Z","1.039","0","313.441","284.07","21","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:35.9045750Z","2.062","0","313.441","284.07","21","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:36.9117950Z","3.069","0","313.379","283.445","21","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:37.9315758Z","4.089","0","313.336","283.379","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:38.9529026Z","5.11","0","313.336","283.379","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:39.9716735Z","6.129","0","313.086","283.129","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:40.9772526Z","7.134","0","313.086","283.129","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:41.9897872Z","8.147","0","313.086","283.129","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:43.0088314Z","9.166","0","313.086","283.129","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:44.0187385Z","10.176","0","313.086","283.129","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:45.0266888Z","11.184","0","313.086","283.129","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:46.0354684Z","12.193","0","313.086","283.129","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:47.0417382Z","13.199","0","313.086","283.129","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:48.0513581Z","14.209","0","313.086","283.129","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:49.0618137Z","15.219","0","313.086","283.129","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:50.0705980Z","16.228","0","313.086","283.129","20","695","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:51.0778979Z","17.235","0","313.086","283.129","20","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:52.0863427Z","18.244","0","313.086","283.129","20","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:53.1064008Z","19.264","0","313.086","283.129","20","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:54.1121703Z","20.269","0","313.086","283.129","20","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:55.1211620Z","21.278","0","313.086","283.129","20","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:56.1273900Z","22.285","0","313.086","283.129","20","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:57.1397091Z","23.297","0","313.086","283.129","20","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:58.1446684Z","24.302","0","313.086","283.129","20","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:31:59.1499356Z","25.307","0","313.086","283.129","20","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:00.1713403Z","26.329","0","313.086","283.129","20","698","0","0",,,,"20","31",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:01.1914865Z","27.349","0","313.047","283.668","18","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:02.1985694Z","28.356","0","313.047","283.668","18","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:03.2052061Z","29.362","0","313.047","283.668","18","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:04.2248052Z","30.382","0","313.047","283.668","18","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:05.2397097Z","31.397","0","313.047","283.668","18","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:06.2563928Z","32.414","0","313.047","283.668","18","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:07.2856773Z","33.443","0","313.047","283.668","18","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:08.3117547Z","34.469","0","313.047","283.668","18","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:09.3461807Z","35.503","0.0944","313.008","283.586","16","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:10.3769723Z","36.534","0","313.008","283.586","16","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:11.4127252Z","37.57","0","313.008","283.586","16","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:12.4428162Z","38.6","0","313.008","283.586","16","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:13.4802184Z","39.637","0","313.008","283.586","16","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:14.5185459Z","40.676","0","313.008","283.586","16","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:15.5513474Z","41.709","0","313.008","283.586","16","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:16.5929603Z","42.75","0","313.008","283.586","16","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:17.6382247Z","43.795","0","313.008","283.586","16","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:18.6685633Z","44.826","0","313.008","283.586","16","691","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:19.7195968Z","45.877","0","313.086","283.715","19","700","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:20.7682107Z","46.925","0","313.09","283.719","19","700","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:21.8163700Z","47.974","0","313.09","283.719","19","700","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:22.8680400Z","49.025","0","313.09","283.719","19","700","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:23.9174716Z","50.075","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:24.9766620Z","51.134","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:26.0374911Z","52.195","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:27.1036365Z","53.261","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:28.1649117Z","54.322","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:29.2169577Z","55.374","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:30.2795757Z","56.437","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:31.3414229Z","57.499","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:32.4063913Z","58.564","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:33.4685362Z","59.626","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:34.5326400Z","60.69","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:35.6029273Z","61.76","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:36.6823309Z","62.84","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:37.7526705Z","63.91","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:38.8336244Z","64.991","0","313.059","283.672","18","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:39.9118820Z","66.069","0","313.02","283.59","16","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:41.0367002Z","67.194","0","313.02","283.59","16","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:42.1622389Z","68.319","0","313.02","283.59","16","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:43.3586861Z","69.516","0","313.02","283.59","16","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:44.3763261Z","70.534","0","313.02","283.59","16","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:45.3854262Z","71.543","0","313.02","283.59","16","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:46.3976384Z","72.555","0","313.02","283.59","16","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:47.4118653Z","73.569","0","313.02","283.59","16","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:48.4215650Z","74.579","0","313.02","283.59","16","697","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:49.4325769Z","75.59","0","313.09","283.719","19","706","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:50.4464169Z","76.604","0","313.09","283.719","19","706","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:51.4593627Z","77.617","0","313.09","283.719","19","706","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:52.4690502Z","78.626","0","313.09","283.719","19","706","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:53.4746115Z","79.632","0","313.059","283.672","18","703","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:54.4875761Z","80.645","0","313.059","283.672","18","703","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:55.5014010Z","81.659","0","313.059","283.672","18","703","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:56.5102813Z","82.668","0","313.059","283.672","18","703","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:57.5222875Z","83.68","0","313.059","283.672","18","703","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:58.5364901Z","84.694","0","313.059","283.672","18","703","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:32:59.5512723Z","85.709","0","313.059","283.672","18","703","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:33:00.5663579Z","86.724","0","313.059","283.672","18","703","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:33:01.5843489Z","87.742","0","313.059","283.672","18","703","0","0",,,,"20","30",,,,"True"
"B-AutoRender","S18-post-operation-idle","2026-09-20T00:33:02.5992593Z","88.756","0","313.059","283.672","18","703","0","0",,,,"20","30",,,,"True"
