"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"B-AutoRender","S3-scroll","2026-09-20T00:27:02.6126130Z","0.004",,"270.758","237.027","16","668",,,,,,"22","29",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:03.6608634Z","1.052","4.6581","279.02","244.129","17","671","107969.432","36347.232",,,,"21","30",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:04.6804845Z","2.072","2.4902","281.383","244.84","17","673","16346.268","36832.31",,,,"21","31",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:05.6963214Z","3.087","4.326","283.82","245.383","17","673","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:06.7044411Z","4.096","0.1937","283.914","245.387","17","673","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:07.7119598Z","5.103","0.0969","283.949","245.387","17","673","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:08.7239846Z","6.115","0.0965","283.949","245.387","17","673","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:09.7326967Z","7.124","0.0968","283.977","245.387","17","673","0","0",,,,"21","32",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:10.7430708Z","8.134","0","283.98","245.387","17","673","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:11.7517345Z","9.143","0.1936","284.031","245.387","17","673","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:12.7605394Z","10.152","0","284.031","245.387","17","673","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:13.7677267Z","11.159","0","284.035","245.387","17","673","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S3-scroll","2026-09-20T00:27:14.7789569Z","12.17","0","284.035","245.387","17","673","0","0",,,,"21","31",,,,"True"
