"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:34.0152896Z","0.004",,"304.496","262.801","19","686",,,,,,"19","33",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:35.0652553Z","1.054","1.2091","306.645","264.93","19","688","33433.473","55769.441",,,,"21","32",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:36.0901577Z","2.079","1.8104","308.52","266.07","19","688","70441.829","74900.791",,,,"21","32",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:37.1047146Z","3.094","1.3476","308.613","266.07","19","688","52850.658","75031.77",,,,"21","33",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:38.1154461Z","4.104","0","308.621","259.203","19","688","16308.98","0",,,,"21","31",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:39.1377809Z","5.127","0","308.621","259.203","19","688","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:40.1509797Z","6.14","0","308.621","259.203","19","688","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:41.1610828Z","7.15","0","308.477","258.992","16","688","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:42.1720334Z","8.161","0","308.457","258.953","15","686","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:43.1850636Z","9.174","0","308.457","258.953","15","686","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:44.2055412Z","10.194","0","308.457","258.953","15","686","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:45.2258628Z","11.215","0","308.41","258.887","14","683","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S8-body-filter","2026-09-20T00:28:46.2328763Z","12.222","0","308.41","258.887","14","683","0","0",,,,"21","31",,,,"True"
