"Runtime","Scenario","TimestampUtc","ElapsedSec","CpuPct","WorkingSetMB","PrivateMemoryMB","ThreadCount","HandleCount","DiskReadBytesPerSec","DiskWriteBytesPerSec","GpuEngineUtilPct","GpuDedicatedMB","GpuSharedMB","GdiObjects","UserObjects","SystemCpuPct","SystemDiskReadBytesPerSec","SystemDiskWriteBytesPerSec","Alive"
"B-AutoRender","S9-theme-filter","2026-09-20T00:28:52.2383698Z","0.004",,"306.41","256.281","15","675",,,,,,"19","32",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:28:53.2859440Z","1.052","1.7712","306.781","256.434","15","679","66977.595","72668.838",,,,"21","33",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:28:54.2971013Z","2.063","1.7384","310.699","260.188","15","677","36742.058","38276.933",,,,"21","32",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:28:55.3057943Z","3.071","1.3554","310.961","260.191","15","677","69515.7","75467.957",,,,"21","32",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:28:56.3189962Z","4.085","0","310.961","260.191","15","677","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:28:57.3341938Z","5.1","0","310.961","260.191","15","677","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:28:58.3388689Z","6.105","0","310.961","260.191","15","677","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:28:59.3476625Z","7.113","0","310.914","260.125","14","674","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:29:00.3586168Z","8.124","0","310.914","260.125","14","674","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:29:01.3661780Z","9.132","0","310.914","260.125","14","674","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:29:02.3725447Z","10.138","0","310.914","260.125","14","674","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:29:03.3766057Z","11.142","0","310.914","260.125","14","674","0","0",,,,"21","31",,,,"True"
"B-AutoRender","S9-theme-filter","2026-09-20T00:29:04.3940318Z","12.16","0","310.914","260.125","14","674","0","0",,,,"21","31",,,,"True"
