"Runtime","Scenario","Samples","CpuAvgPct","CpuP95Pct","CpuPeakPct","PrivateFirstMB","PrivateLastMB","PrivatePeakMB","WorkingFirstMB","WorkingLastMB","ThreadsFirst","ThreadsLast","ThreadsMin","ThreadsMax","HandlesFirst","HandlesLast","HandlesMin","HandlesMax","DiskReadPeakBytesPerSec","DiskWritePeakBytesPerSec"
"A-SoftwareOnly","S1-launch","31","0.2626","2.2006","5.6787","123.789","199.934","200.129","163.066","266.406","10","17","10","20","272","511","272","520","102797","329"
"A-SoftwareOnly","S10-content-filter","13","0.2382","1.2423","1.2423","213.895","208.613","213.918","295.348","291.5","13","15","12","15","532","540","531","540","34999","1161"
"A-SoftwareOnly","S11-deep-only","13","0.0471","0.5654","0.5654","210.598","210.504","210.609","292.281","292.219","15","13","13","15","540","540","537","540","2279","654"
"A-SoftwareOnly","S12-prompt-add-remove","13","0.9478","3.4417","3.4417","208.961","215.82","215.891","292.18","299.629","13","14","13","15","542","537","537","542","314055","194441"
"A-SoftwareOnly","S13-prompt-reorder","13","0.3455","2.523","2.523","215.879","218.105","218.285","299.676","302.293","15","14","14","15","542","541","540","544","257745","146321"
"A-SoftwareOnly","S14-category-display","13","0","0","0","218.836","218.762","218.836","304.059","304.004","17","16","16","17","542","539","539","542","100","14"
"A-SoftwareOnly","S15-display-toggle","13","0.0156","0.1873","0.1873","218.723","218.801","218.801","304.039","304.086","15","17","14","17","542","548","539","548","2361","663"
"A-SoftwareOnly","S16-prompt-search","13","0.0078","0.0935","0.0935","218.129","217.992","218.129","302.75","302.75","17","14","14","17","550","545","545","550","1235","339"
"A-SoftwareOnly","S17-resize","13","0.0235","0.2825","0.2825","211.68","211.734","211.758","296.582","296.727","15","17","15","17","548","555","548","555","15897","36087"
"A-SoftwareOnly","S18-post-operation-idle","121","0.0038","0","0.3621","208.434","206.926","208.434","293.711","291.852","19","13","13","19","561","540","540","564","0","0"
"A-SoftwareOnly","S2-idle","61","0.0044","0","0.263","200.074","197.383","200.074","267.734","265.461","18","13","13","19","514","502","499","514","0","0"
"A-SoftwareOnly","S3-scroll","13","0.8765","3.6833","3.6833","190.145","194.219","194.219","261.363","270.926","16","16","16","16","521","521","521","521","107513","36922"
"A-SoftwareOnly","S4-japanese-input","13","0.4509","3.4054","3.4054","210.996","214.293","214.41","288.328","293.289","16","14","14","16","526","522","522","526","33806","73042"
"A-SoftwareOnly","S5-english-input","13","0.1405","1.5911","1.5911","214.633","215.258","215.367","294.133","295.016","15","13","12","15","524","525","522","525","33476","72271"
"A-SoftwareOnly","S6-mixed-input","13","0.1474","1.7694","1.7694","215.277","215.277","215.379","295.359","295.793","13","12","12","13","523","522","520","523","33294","71908"
"A-SoftwareOnly","S7-category-switch","13","0.4053","2.2103","2.2103","211.285","207.383","212.812","291.965","288.211","13","16","13","17","525","540","525","543","51877","72766"
"A-SoftwareOnly","S8-body-filter","13","0.3086","1.5981","1.5981","210.305","213.676","213.934","289.957","294.684","17","12","12","17","541","540","540","543","66557","74244"
