canonical,display_ja,decision,risk_class,language_sanity_provenance
snowdrop_(flower),スノードロップ,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
snowfield_police_uniform,クラン・カラティン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowflake_background,スノーフレークの背景,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowflake_brooch,snowflake・ブローチ,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
snowflake_choker,スノーフレークチョーカー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowflake_halo,タグ「snowflake halo」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
snowflake_hat_ornament,snowflake・帽子・飾り,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
snowflake_liliput_(idolmaster),スノーフレークリリパット,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
snowflake_necklace,スノーフレークネックレス,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowflake_ornament,スノーフレーク飾り,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowflake_pendant,スノーフレークペンダント,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowflake_print,スノーフレークプリント,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowflake_pupils,雪花瞳孔,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowflakes,雪の結晶,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowman_costume,雪だるまの衣装,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowman_earrings,snowmanのイヤリング,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
snowman_hair_ornament,雪だるまの髪の飾り,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowman_print,雪だるま柄,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowquill_set_(zelda),リト装備,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
snowscape,タグ「snowscape」,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowy_owl,シロフクロウ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snubnosed_revolver,スナブノーズ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
so_moe_i'm_gonna_die!,萌え死ぬ,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
soaking_feet,足を浸す,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soaking_hands,手を浸す,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soap,石鹸,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soap_bottle,石鹸ボトル,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soap_bubbles,シャボン玉,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soap_censor,泡ブラ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soap_dispenser,石鹸ディスペンサー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soap_shoes,グラインドシューズ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soapland,ソープランド,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soapy,石鹸,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soba,そば,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sobbing,マジ泣き,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sobu_high_school_uniform,ソブ高校のユニフォーム,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soccer,サッカー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soccer_field,足球场,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
soccer_uniform,サカユニ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
social_media_composition,四分割,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
social_network,ソーシャルネットワーク,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sock_dangle,靴下のぶら下がっています,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sock_pull,靴下プル,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sock_puppet,タグ「sock puppet」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
