row_number,canonical,display_ja,checks,already_overridden
1529,blob_(google),タグ「blob (google)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
2224,ddd_threesome,タグ「ddd threesome」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
4058,orientation_play,タグ「orientation play」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
5919,yomorio_lingerie,タグ「yomorio lingerie」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
6053,\(^o^)/,タグ「\(^o^)/」,RAW_ENGLISH_WRAPPER,false
6124,acorn_(palico_armor),タグ「acorn (palico armor)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
6414,alternate_(the_mandela_catalogue),タグ「alternate (the mandela catalogue)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
6621,animatech_(league),タグ「animatech (league)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
6642,annihilation_(nikke),タグ「annihilation (nikke)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
6648,anon_tokyo_(bang_dream!),タグ「anon tokyo (bang dream!)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
6669,anti-rain_(girls'_frontline),タグ「anti-rain (girls' frontline)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
6716,appletrend,タグ「appletrend」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
6744,aps_rifle,タグ「aps rifle」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
6864,aramasa,タグ「aramasa」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
6985,armatus_(tales),タグ「armatus (tales)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7136,assisted_rape,タグ「assisted rape」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7202,attitude_derriere,タグ「attitude derriere」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7260,awakening_(toaru),タグ「awakening (toaru)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7261,awakening_beat_(project_sekai),タグ「awakening beat (project sekai)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7265,awestruck,タグ「awestruck」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7268,awooo,タグ「awooo」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7269,ax_bass,タグ「ax bass」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7295,azure_(armor),タグ「azure (armor)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7447,bamboozler_14_(splatoon),タグ「bamboozler 14 (splatoon)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7659,beaded_penis,タグ「beaded penis」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7689,bear_position,タグ「bear position」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7766,belly_press,タグ「belly press」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7767,belly_riding,タグ「belly riding」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7770,beloved_zofia,タグ「beloved zofia」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7793,bent_w,タグ「bent w」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7806,beta_pollux,タグ「beta pollux」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7812,bevor,タグ「bevor」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
7999,black_bulls_(emblem),タグ「black bulls (emblem)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8115,blacked_(phrase),タグ「blacked (phrase)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8125,blacktober,タグ「blacktober」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8134,blake_bloom_(wuthering_waves),タグ「blake bloom (wuthering waves)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8562,bouncing_belly,タグ「bouncing belly」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8563,bouncing_bulge,タグ「bouncing bulge」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8569,bound_calves,タグ「bound calves」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8572,bound_penis,タグ「bound penis」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8574,bound_testicles,タグ「bound testicles」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8578,bourbon_(kirby),タグ「bourbon (kirby)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8600,bowl_boat,タグ「bowl boat」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8736,bright_me_up!!_(ensemble_stars!),タグ「bright me up!! (ensemble stars!)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8795,brooklyn_sweater,タグ「brooklyn sweater」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8800,brother_and_sister_threesome,タグ「brother and sister threesome」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8831,brown_egyptian_cat-eared_loli_(trend),タグ「brown egyptian cat-eared loli (trend)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8924,bryan_lee_o'malley_(style),タグ「bryan lee o'malley (style)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8970,bulge_lift,タグ「bulge lift」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
8992,bunbunmaru,タグ「bunbunmaru」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9015,burning_as_one_(umamusume),タグ「burning as one (umamusume)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9051,buster_bros!!!,タグ「buster bros!!!」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9056,butch/femme_couple,タグ「butch/femme couple」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9154,calflet,タグ「calflet」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9184,camera_hold_pose_(han-0v0),タグ「camera hold pose (han-0v0)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9249,candy_gore,タグ「candy gore」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9259,caning,タグ「caning」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9271,canon_event,タグ「canon event」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9290,capotain,タグ「capotain」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9457,catalyst_scimitar,タグ「catalyst scimitar」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9469,cathead,タグ「cathead」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9494,cbt_press,タグ「cbt press」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9504,celestial_being,タグ「celestial being」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9545,cervix_punching,タグ「cervix punching」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9606,channel_(caststation)_(style),タグ「channel (caststation) (style)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9670,chase_my_ideal_idol!_(project_sekai),タグ「chase my ideal idol! (project sekai)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9780,cherub,タグ「cherub」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9887,chinese_peony,タグ「chinese peony」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9916,choco_girl,タグ「choco girl」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9930,chocolate_lady_no_karasawagi,タグ「chocolate lady no karasawagi」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
9951,choir_outfit_(utdr),タグ「choir outfit (utdr)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10129,close_game/offline_(project_sekai),タグ「close game/offline (project sekai)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10240,coil_(dimension_w),タグ「coil (dimension w)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10371,comp_(megami_tensei),タグ「comp (megami tensei)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10383,completionist_cape_(runescape),タグ「completionist cape (runescape)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10384,complex_exterior,タグ「complex exterior」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10428,constellation_crystal_(ff14),タグ「constellation crystal (ff14)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10478,cool_s,タグ「cool s」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10487,cooperative_pussyjob,タグ「cooperative pussyjob」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10500,coreflame_(honkai:_star_rail),タグ「coreflame (honkai: star rail)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10553,covenant_halo_(girls'_frontline_2),タグ「covenant halo (girls' frontline 2)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10555,cover_bikini_girl_(gta_vi)_(pose),タグ「cover bikini girl (gta vi) (pose)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10616,cr-unit_(date_a_live),タグ「cr-unit (date a live)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10870,cruxis_wings_(tales),タグ「cruxis wings (tales)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10893,cs/ls06,タグ「cs/ls06」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
10947,cunt_busting,タグ「cunt busting」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11020,cutout_eyelashes,タグ「cutout eyelashes」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11027,cyaron!_(love_live!),タグ「cyaron! (love live!)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11146,date_clan_blades_(touken_ranbu),タグ「date clan blades (touken ranbu)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11225,deku's_photo_of_hagakure_toru,タグ「deku's photo of hagakure toru」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11286,destiny's_embrace_(kingdom_hearts),タグ「destiny's embrace (kingdom hearts)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11427,dior,タグ「dior」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11433,dipper,タグ「dipper」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11497,diverdiva,タグ「diverdiva」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11515,diyap_(style),タグ「diyap (style)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11521,djinn_equip,タグ「djinn equip」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11523,do_not_want,タグ「do not want」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11562,doll_(nikke),タグ「doll (nikke)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11751,drawing_arrow,タグ「drawing arrow」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11828,drive-by,タグ「drive-by」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11863,dshk,タグ「dshk」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11908,durex,タグ「durex」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11931,dx,タグ「dx」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11942,dytica_(nijisanji),タグ「dytica (nijisanji)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
11974,eargasm,タグ「eargasm」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12019,edel_note,タグ「edel note」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12188,en'enra,タグ「en'enra」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12190,ena_(species),タグ「ena (species)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12246,enter_enter_mission!,タグ「enter enter mission!」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12288,eternal_moon_article,タグ「eternal moon article」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12291,ether_aria_(love_live!),タグ「ether aria (love live!)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12354,exploded_cosmetics,タグ「exploded cosmetics」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12370,expression_35,タグ「expression 35」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12402,eye_banner_(trend),タグ「eye banner (trend)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12580,fallschirmhelm,タグ「fallschirmhelm」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12600,fan_meeting,タグ「fan meeting」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12640,father_and_son_threesome,タグ「father and son threesome」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12656,fdd_threesome,タグ「fdd threesome」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12688,feature_scout_1_(ensemble_stars!),タグ「feature scout 1 (ensemble stars!)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12689,feature_scout_2_(ensemble_stars!),タグ「feature scout 2 (ensemble stars!)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12808,find_the_dream_view_(project_sekai),タグ「find the dream view (project sekai)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12834,finger_pointer,タグ「finger pointer」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12854,fingering_gesture,タグ「fingering gesture」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12891,firelock,タグ「firelock」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
12893,fireseal,タグ「fireseal」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13106,floral_dissolve,タグ「floral dissolve」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13204,flowjob,タグ「flowjob」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13239,fn_f2000,タグ「fn f2000」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13240,fn_fal,タグ「fn fal」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13242,fn_fnc,タグ「fn fnc」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13243,fn_mag,タグ「fn mag」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13245,fn_mk_20_ssr,タグ「fn mk 20 ssr」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13246,fn_p90,タグ「fn p90」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13247,fn_scar,タグ「fn scar」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13248,fn_scar_16,タグ「fn scar 16」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13249,fn_scar_17,タグ「fn scar 17」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13253,focus_(horizon),タグ「focus (horizon)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13335,football_goal,タグ「football goal」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13369,ford_crown_victoria_(2nd_generation),タグ「ford crown victoria (2nd generation)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13371,ford_mustang_(1st_generation),タグ「ford mustang (1st generation)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13396,fortified_suit_(imperial_royal_guard),タグ「fortified suit (imperial royal guard)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13397,fortified_suit_(kagami_sumika),タグ「fortified suit (kagami sumika)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13432,fox_mousing,タグ「fox mousing」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13442,fraid,タグ「fraid」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13481,freudian_switch,タグ「freudian switch」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13636,fuck-me_pasties,タグ「fuck-me pasties」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13668,funamusea_(style),タグ「funamusea (style)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13781,fuuka_school_uniform_(hara_hara!!),タグ「fuuka school uniform (hara hara!!)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13789,g'ie_(hundred_line),タグ「g'ie (hundred line)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13870,garmentmaker_(honkai:_star_rail),タグ「garmentmaker (honkai: star rail)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13931,geissele_urg-i,タグ「geissele urg-i」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13956,genjiguruma,タグ「genjiguruma」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
13990,get_over_it._(project_sekai),タグ「get over it. (project sekai)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
14130,gloria_the_scot,タグ「gloria the scot」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
14143,gloved_sleeves,タグ「gloved sleeves」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
14223,goatee_stubble,タグ「goatee stubble」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
14226,god_tier_(homestuck),タグ「god tier (homestuck)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
14353,goodyear,タグ「goodyear」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
14488,grassrunner,タグ「grassrunner」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
14788,grind_fiction,タグ「grind fiction」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
14838,guilty_gear_strive_x_tower_records,タグ「guilty gear strive x tower records」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
14840,guimpe,タグ「guimpe」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
14890,gyaru_w,タグ「gyaru w」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
15084,hanamiya_nina_(style),タグ「hanamiya nina (style)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
15203,handjob_gesture_(not_ok),タグ「handjob gesture (not ok)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
15281,hanging_wedgie,タグ「hanging wedgie」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
15296,happy_enjoy_music!_(project_sekai),タグ「happy enjoy music! (project sekai)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
15622,hellfire_gala,タグ「hellfire gala」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
15627,hello_mem_world!_(honkai:_star_rail),タグ「hello mem world! (honkai: star rail)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
15628,hellomegu!,タグ「hellomegu!」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
16596,hounskull,タグ「hounskull」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
16728,hypnoshades_(splatoon),タグ「hypnoshades (splatoon)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
16845,illusion_cake,タグ「illusion cake」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
16861,imijikarishi_valentine,タグ「imijikarishi valentine」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17158,into_the_new_light_(project_sekai),タグ「into the new light (project sekai)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17183,inward_w,タグ「inward w」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17212,irken,タグ「irken」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17213,irken_pak,タグ「irken pak」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17227,ironmouse_outfit_art_contest,タグ「ironmouse outfit art contest」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17274,iterator_(rain_world),タグ「iterator (rain world)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17290,j.k._(style),タグ「j.k. (style)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17301,jack_(fish),タグ「jack (fish)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17417,jevilstail,タグ「jevilstail」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17542,kagemitsu_g4,タグ「kagemitsu g4」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17627,karana_mudra,タグ「karana mudra」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17759,killkiss_(bang_dream!),タグ「killkiss (bang dream!)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17792,kinktober,タグ「kinktober」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17914,knowing_the_unseen_(project_sekai),タグ「knowing the unseen (project sekai)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17938,koi_(koisan)_(style),タグ「koi (koisan) (style)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
17941,koikoi_love_cafe_(ensemble_stars!),タグ「koikoi love cafe (ensemble stars!)」,RAW_ENGLISH_WRAPPER;ASCII_WORD,false
