canonical,old_display_ja,new_display_ja,reason
ios_(os),タグ「ios (os)」,iOS,RAW_ENGLISH_WRAPPER
loosely_tucked_bangs,タグ「loosely tucked bangs」,ゆるく横に寄せた長い前髪,RAW_ENGLISH_WRAPPER
skin_suit_(stellar_blade),タグ「skin suit (stellar blade)」,スキンスーツ（Stellar Blade）,RAW_ENGLISH_WRAPPER
@_(symbol),タグ「@ (symbol)」,アットマーク,RAW_ENGLISH_WRAPPER
absolute_(nikke),タグ「absolute (nikke)」,アブソルート（NIKKE）,RAW_ENGLISH_WRAPPER
acog,タグ「acog」,ACOG（光学照準器）,RAW_ENGLISH_WRAPPER
aegis_(nikke),タグ「aegis (nikke)」,イージス（NIKKE）,RAW_ENGLISH_WRAPPER
ags_(last_origin),タグ「ags (last origin)」,AGS（ラストオリジン）,RAW_ENGLISH_WRAPPER
ah-64_apache,タグ「ah-64 apache」,AH-64 アパッチ,RAW_ENGLISH_WRAPPER
ai_arctic_warfare,タグ「ai arctic warfare」,アークティク・ウォーフェア（狙撃銃）,RAW_ENGLISH_WRAPPER
aim-120_amraam,タグ「aim-120 amraam」,AIM-120 AMRAAM,RAW_ENGLISH_WRAPPER
aimpoint,タグ「aimpoint」,Aimpoint（照準器）,RAW_ENGLISH_WRAPPER
airpods,タグ「airpods」,AirPods,RAW_ENGLISH_WRAPPER
aiscream_(love_live!),タグ「aiscream (love live!)」,AiScReam（ラブライブ！）,RAW_ENGLISH_WRAPPER
ak-alfa,タグ「ak-alfa」,AK-Alfa,RAW_ENGLISH_WRAPPER
akg,タグ「akg」,AKG,RAW_ENGLISH_WRAPPER
akg_k-series_headphones,タグ「akg k-series headphones」,AKG Kシリーズヘッドホン,RAW_ENGLISH_WRAPPER
akm,タグ「akm」,AKM,RAW_ENGLISH_WRAPPER
akms,タグ「akms」,AKMS,RAW_ENGLISH_WRAPPER
alpha_legion,タグ「alpha legion」,アルファ・リージョン,RAW_ENGLISH_WRAPPER
alpine_(carmaker),タグ「alpine (carmaker)」,アルピーヌ（自動車メーカー）,RAW_ENGLISH_WRAPPER
altair_(star),タグ「altair (star)」,アルタイル（恒星）,RAW_ENGLISH_WRAPPER
ancient_dragon_(elden_ring),タグ「ancient dragon (elden ring)」,古竜（ELDEN RING）,RAW_ENGLISH_WRAPPER
anima_(honkai:_nexus_anima),タグ「anima (honkai: nexus anima)」,アニマ（崩壊：ネクサスアニマ）,RAW_ENGLISH_WRAPPER
animal_crossing_(style),タグ「animal crossing (style)」,どうぶつの森風,RAW_ENGLISH_WRAPPER
animation_meme,タグ「animation meme」,アニメーションミーム,RAW_ENGLISH_WRAPPER
animatronic,タグ「animatronic」,アニマトロニクス,RAW_ENGLISH_WRAPPER
aqours_1st_years,タグ「aqours 1st years」,Aqours 1年生組,RAW_ENGLISH_WRAPPER
aqours_2nd_years,タグ「aqours 2nd years」,Aqours 2年生組,RAW_ENGLISH_WRAPPER
aqours_3rd_years,タグ「aqours 3rd years」,Aqours 3年生組,RAW_ENGLISH_WRAPPER
atm,タグ「atm」,ATM（現金自動預払機）,RAW_ENGLISH_WRAPPER
aurebesh,タグ「aurebesh」,オーラベッシュ,RAW_ENGLISH_WRAPPER
ave_mujica_(bang_dream!),タグ「ave mujica (bang dream!)」,Ave Mujica（BanG Dream!）,RAW_ENGLISH_WRAPPER
awacs,タグ「awacs」,AWACS（早期警戒管制機）,RAW_ENGLISH_WRAPPER
awakened_being_(claymore),タグ「awakened being (claymore)」,覚醒者（CLAYMORE）,RAW_ENGLISH_WRAPPER
awataguchi_family_(touken_ranbu),タグ「awataguchi family (touken ranbu)」,粟田口（刀剣乱舞）,RAW_ENGLISH_WRAPPER
azuna_(love_live!),タグ「azuna (love live!)」,A・ZU・NA（ラブライブ！）,RAW_ENGLISH_WRAPPER
b&t_apc,タグ「b&t apc」,B&T APC（銃器）,RAW_ENGLISH_WRAPPER
b-komachi_(new),タグ「b-komachi (new)」,新生B小町,RAW_ENGLISH_WRAPPER
barre_chord,タグ「barre chord」,バレーコード,RAW_ENGLISH_WRAPPER
