canonical,old_display_ja,new_display_ja,reason
ahnenerbe_shop_uniform,ahnenerbe shopの制服,Ahnenerbe Shopの制服,MIXED_PROPER_NAME_NORMALIZATION
aihara_academy_school_uniform,aihara academyの学校制服,Aihara Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
ame_no_kisaki_academy_school_uniform,ame no kisaki academyの学校制服,Ame no Kisaki Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
avocado_academy_school_uniform,avocado academyの学校制服,Avocado Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
awafuji_school_uniform,awafujiの学校制服,Awafujiの制服,MIXED_PROPER_NAME_NORMALIZATION
bellwall_military_uniform,bellwall militaryの制服,Bellwallの軍服,MIXED_PROPER_NAME_NORMALIZATION
bellwall_school_uniform,bellwallの学校制服,Bellwallの制服,MIXED_PROPER_NAME_NORMALIZATION
black_vinegar_middle_school_uniform,black vinegar middleの学校制服,Black Vinegar Middle Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
blacksteel_worldwide_logo,blacksteel worldwideのロゴ,Blacksteel Worldwideのロゴ,MIXED_PROPER_NAME_NORMALIZATION
blueberry_academy_school_uniform,blueberry academyの学校制服,Blueberry Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
devyat'_association_north_uniform,devyat' association northの制服,Devyat' Association Northの制服,MIXED_PROPER_NAME_NORMALIZATION
goryoukan_academy_uniform,goryoukan academyの制服,Goryoukan Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
hakuryou_high_school_uniform,hakuryou highの学校制服,Hakuryou High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
hakusen_academy_school_uniform,hakusen academyの学校制服,Hakusen Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
heijou_institute_school_uniform,hejou Institute学校の制服,Heijou Instituteの制服,CANONICAL_SPELLING_AND_SEAM_REPAIR
hekiho_academy_school_uniform,hekiho academyの学校制服,Hekiho Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
himematsu_school_uniform,himematsuの学校制服,Himematsuの制服,MIXED_PROPER_NAME_NORMALIZATION
hino_minami_high_school_uniform,hino minami highの学校制服,Hino Minami High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
holohoneygaoka_high_school_uniform,holohoneygaoka highの学校制服,Holohoneygaoka High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
homurabara_academy_elementary_school_uniform,homurabara academy elementaryの学校制服,Homurabara Academy Elementary Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
hoshinomiya_girls'_high_school_uniform,hoshinomiya girls' highの学校制服,Hoshinomiya Girls' High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
houjou_high_school_uniform,houjou highの学校制服,Houjou High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
indigo_academy_school_uniform,indigo academyの学校制服,Indigo Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
irken_uniform,irkenの制服,Irkenの制服,MIXED_PROPER_NAME_NORMALIZATION
jouin_high_school_uniform,jouin highの学校制服,Jouin High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
kami_high_school_uniform,kami highの学校制服,Kami High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
kanon_school_uniform,kanonの学校制服,Kanonの制服,MIXED_PROPER_NAME_NORMALIZATION
katagiri_senior_high_school_uniform,katagiri senior highの学校制服,Katagiri Senior High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
kazami_uniform,kazamiの制服,Kazamiの制服,MIXED_PROPER_NAME_NORMALIZATION
kikka_academy_school_uniform,kikka academyの学校制服,Kikka Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
kikyo_private_academy_school_uniform,kikyo private academyの学校制服,Kikyo Private Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
kirigaoka_girls'_academy_school_uniform,kirigaoka girls' academyの学校制服,Kirigaoka Girls' Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
kirishima_uniform,kirishimaの制服,Kirishimaの制服,MIXED_PROPER_NAME_NORMALIZATION
kiritsusei_juuji_academy_school_uniform,kiritsusei juuji academyの学校制服,Kiritsusei Juuji Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
kitami_hokuryo_high_school_uniform,kitami hokuryo highの学校制服,Kitami Hokuryo High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
kokatsu_academy_school_uniform,kokatsu academyの学校制服,Kokatsu Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
kotonohatoh_uniform,kotonohatohの制服,Kotonohatohの制服,MIXED_PROPER_NAME_NORMALIZATION
kouryou_academy_school_uniform,Kouryouアカデミーユニフォーム,Kouryou Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
kouryoukan_academy_school_uniform,kouryoukan academyの学校制服,Kouryoukan Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
kuho_girls_academy_school_uniform,kuho girls academyの学校制服,Kuho Girls Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
kurumi-gaoka_high_school_uniform,kurumi gaoka highの学校制服,Kurumi-Gaoka High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
liebe_girls_academy_school_uniform,liebe girls academyの学校制服,Liebe Girls Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
living_doll_uniform,living dollの制服,Living Dollの制服,MIXED_PROPER_NAME_NORMALIZATION
love_high_school_uniform,love highの学校制服,Love High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
maginot_military_uniform,maginot militaryの制服,Maginotの軍服,MIXED_PROPER_NAME_NORMALIZATION
maginot_school_uniform,maginotの学校制服,Maginotの制服,MIXED_PROPER_NAME_NORMALIZATION
marehoshi_academy_school_uniform,marehoshi academyの学校制服,Marehoshi Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
mayqueen_maid_uniform,mayqueen maidの制服,Mayqueenのメイド服,MIXED_PROPER_NAME_NORMALIZATION
mihama_private_academy_school_uniform,mihama private academyの学校制服,Mihama Private Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
mihoshi_academy_school_uniform,Mihoshi Academyユニフォーム,Mihoshi Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
misaki_municipal_high_school_uniform,misaki municipal highの学校制服,Misaki Municipal High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
misono_gakuen_school_uniform,misono gakuenの学校制服,Misono Gakuenの制服,MIXED_PROPER_NAME_NORMALIZATION
mizuka_academy_school_uniform,mizuka academyの学校制服,Mizuka Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
mizukawa_school_uniform,mizukawaの学校制服,Mizukawaの制服,MIXED_PROPER_NAME_NORMALIZATION
moegi_high_school_uniform,moegi highの学校制服,Moegi High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
momozono_junior_high_school_uniform,momozono junior highの学校制服,Momozono Junior High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
myoudou_gakuen_high_school_uniform,myoudou gakuen highの学校制服,Myoudou Gakuen High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
nanahyakuichi_middle_school_uniform,nanahyakuichi middleの学校制服,Nanahyakuichi Middle Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
nanyou_academy_uniform,nanyou academyの制服,Nanyou Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
nevermore_academy_school_uniform,nevermore academyの学校制服,Nevermore Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
newgrounds_username,newgroundsのユーザー名,Newgroundsユーザー名,PROPER_NAME_CASE_NORMALIZATION
ohananomitsu_high_school_uniform,ohananomitsu highの学校制服,Ohananomitsu High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
ohananomitsu_middle_school_uniform,ohananomitsu middleの学校制服,Ohananomitsu Middle Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
ohtori_academy_school_uniform,ohtori academyの学校制服,Ohtori Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
oota_kuniyoshi_face_(meme),oota kuniyoshiの顔（ミーム）,Oota Kuniyoshiの顔（ミーム）,PROPER_NAME_CASE_NORMALIZATION
ootori_gakuen_school_uniform,ootori gakuen学校の制服,Ootori Gakuenの制服,MIXED_PROPER_NAME_NORMALIZATION
osafune_girls_academy_school_uniform,osafune girls academyの学校制服,Osafune Girls Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
oufi_association_south_uniform,oufi association southの制服,Oufi Association Southの制服,MIXED_PROPER_NAME_NORMALIZATION
rakuyo_high_school_uniform,rakuyo highの学校制服,Rakuyo High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
reimei_school_uniform,reimeiの学校制服,Reimeiの制服,MIXED_PROPER_NAME_NORMALIZATION
renpu_girls_school_uniform,Renpu Girls Schoolユニフォーム,Renpu Girls Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
ryoujoku_school_uniform,ryoujokuの学校制服,Ryoujokuの制服,MIXED_PROPER_NAME_NORMALIZATION
sakigei_municipal_academy_school_uniform,sakigei municipal academyの学校制服,Sakigei Municipal Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
sao_survivor_school_uniform,sao survivorの学校制服,SAO Survivorの制服,MIXED_PROPER_NAME_NORMALIZATION
satogahama_baseball_uniform,satogahama baseballの制服,Satogahamaの野球ユニフォーム,MIXED_PROPER_NAME_NORMALIZATION
satogahama_school_uniform,satogahamaの学校制服,Satogahamaの制服,MIXED_PROPER_NAME_NORMALIZATION
second_wangan_school_uniform,second wanganの学校制服,Second Wanganの制服,MIXED_PROPER_NAME_NORMALIZATION
seigetsu_academy_school_uniform,seigetsu academyの学校制服,Seigetsu Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
seijou_academy_school_uniform,seijou academyの学校制服,Seijou Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
seijou_baseball_uniform,seijou baseballの制服,Seijouの野球ユニフォーム,MIXED_PROPER_NAME_NORMALIZATION
seimei_high_school_uniform,seimei highの学校制服,Seimei High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
seio_girls'_academy_school_uniform,seio girls' academyの学校制服,Seio Girls' Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
seiou_gakuen_school_uniform,seiou gakuenの学校制服,Seiou Gakuenの制服,MIXED_PROPER_NAME_NORMALIZATION
seisen_school_uniform,seisenの学校制服,Seisenの制服,MIXED_PROPER_NAME_NORMALIZATION
seishou_middle_school_uniform,seishou middleの学校制服,Seishou Middle Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
seitetsu_academy_school_uniform,seitetsu academyの学校制服,Seitetsu Academyの制服,MIXED_PROPER_NAME_NORMALIZATION
sekiba_girls'_high_school_uniform,sekiba girls' highの学校制服,Sekiba Girls' High Schoolの制服,MIXED_PROPER_NAME_NORMALIZATION
